Estacionamiento Maua,Av. Italia 2507,,,,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Parking Aeropuerto S.A,Cno. Carrasco 5550,,,601 4536,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Parking 33,Treinta y Tres 1377,,,29153112,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Garage Ambassador,Jackson 1219 esq. Canelones,,,2409 0111,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Parking La Cachila,Av. Rivera 3036,,,2707 4934,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Parking San Jose,San Jose 1226 esq. Yi,,,,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Aloitan SRL,A Monterroso de L 2175,,,402 8802,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Autohouse Parking,Av. 8 de Octubre 3345,,,481 8424,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Autoparque,Cuareim 2318,,,924 1133 - 902 6294,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Auto 3 S.A,Av. 8 de Octubre 2523,,,480 7293,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=1
Central Park,Lanus 5677,,,321 1008,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Colonia Park,Colonia 1771,,,408 9605,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Columbia Park SRL,C Quijano 1230,,,903 1735,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Conomar S.A,P F Berro 1082,,,707 4510,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Conquista S.A,Rincon 447,,,915 1103,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Del Puerto Cosenza Alejandro,Paysandu 1062,,,902 6405,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Dervine S.A,Alzaibar 1278 - Cerrito 527,,,915 2388 - 915 7021,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Dinil S.A,Rincon 416,,,917 0163,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
El Prado Lda.,Av. Agraciada 2957,,,200 0814,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Estacionamiento Buceo,Blvr. J Batlle y O 1462,,,613 8361,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=2
Estacionamiento California,Colonia 1425,,,900 5172,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento Colonia y Andes,Colonia 872,,,902 5845,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento Cordon,Santiago de Chile 1168,,,903 0784,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento JC,Dr. J J de Amezaga 2081,,,204 2710,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento Rally,Dr. T Narvaja 1579,,,402 7073,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento Solis SRL,Solis 1571,,,915 1379,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Estacionamiento 33,Treinta y Tres 1535,,,916 5803,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Garage 104,J E Rodo 1677,,,409 0207,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Garage Brandzen,Cnel. Brandzen 2086,,,400 4558,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Gutierrez Spangenberg Alvaro,Dr. F Simon 2374,,,480 9501,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=3
Juan A Capozzolo SRL,Yi 1472,,,902 3776,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Laype Lda.,Ejido 1234,,,908 0179,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Lee SRL,Ciudadela 1268,,,902 8846,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Lindetex S:A,Treinta y Tres 1377,,,915 3112,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Malaga,Av. Italia 2364,,,487 4044,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Mareal S.A,Colonia 1082,,,902 0592,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Margus Lda.,Colonia 1175,,,908 7379,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Ohanian Sergio,Colonia 1531,,,401 4002,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Oscar Noceti Automoviles SRL,Guayaqui 3265,,,708 6250,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Parana Parking  SRL,Parana 723,,,902 4656,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=4
Park One,Dr. A Lanza 1270,,,900 5795,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Buenos Aires,Buenos Aires 378,,,915 6694,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Colonia Lda.,Colonia 1975,,,409 7694,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking 2002 San Marino Lda.,Colonia 1235,,,902 6856,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Intendencia,Soriano 1374,,,908 1815,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Juncal,Juncal 1367,,,916 5792,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking La Española,Acevedo diaz 1472,,,408 5643,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Leon,Palmar 2170,,,402 5311,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Libertad,Paraguay 1316,,,900 4080,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Palacio Salvo,Andes 1329,,,901 5646,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=5
Parking Paraguay,Paraguay 1277,,,900 1738,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Parking Quijano,C Quijano 1276,,,902 5323,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Parking Rio Branco,W Ferreira A 1290,,,900 5909,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Parking Rodo,J E Rodo 2175,,,408 4712,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Parking San Jose,San Jose 1224,,,908 7782,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Parking 21,F S Antuña 2608,,,711 7338,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Perez Lacoste Maria,Av. Uruguay 991,,,908 1573,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Puerto de Palos,25 de Mayo 278,,,916 392,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Ritalur S.A,Galicia 1194,,,900 0826,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Rivera Park,Av. Rivera 2660,,,709 9177,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=6
Saralegui Clever,Paysandu 933,,,902 1319,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Tafirey S.A,Dr. M Cassinoni 1484,,,402 2097,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Terrasur S.A,25 de Mayo 315,,,916 7388,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Torre Parking S.A,Yaguaron 1425,,,901 2602,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Universal Park SRL,Rio Negro 1124,,,900 8093,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Villar Julio Cesar,Colonia 2258,,,401 9742,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=7
Saralegui Clever,Paysandu 933,,,902 1319,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Tafirey S.A,Dr. M Cassinoni 1484,,,402 2097,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Terrasur S.A,25 de Mayo 315,,,916 7388,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Torre Parking S.A,Yaguaron 1425,,,901 2602,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Universal Park SRL,Rio Negro 1124,,,900 8093,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Villar Julio Cesar,Colonia 2258,,,401 9742,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=8
Saralegui Clever,Paysandu 933,,,902 1319,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Tafirey S.A,Dr. M Cassinoni 1484,,,402 2097,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Terrasur S.A,25 de Mayo 315,,,916 7388,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Torre Parking S.A,Yaguaron 1425,,,901 2602,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Universal Park SRL,Rio Negro 1124,,,900 8093,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Villar Julio Cesar,Colonia 2258,,,401 9742,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=9
Saralegui Clever,Paysandu 933,,,902 1319,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
Tafirey S.A,Dr. M Cassinoni 1484,,,402 2097,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
Terrasur S.A,25 de Mayo 315,,,916 7388,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
Torre Parking S.A,Yaguaron 1425,,,901 2602,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
Universal Park SRL,Rio Negro 1124,,,900 8093,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
Villar Julio Cesar,Colonia 2258,,,401 9742,http://www.comerciosdemontevideo.com.uy/comercios.php?id=190&page=10
